Modelo,Almacenamiento,PrecioB2B,PrecioB2C,Tipo,Pantalla,Año,Procesador,descripcion,tipo,pantalla,procesador,año,almacenamiento,preciob2b,preciob2c
iPhone 14 Plus,128GB,285,,iPhone,,,,iPhone 14 Plus,iPhone,Nan,Nan,0,128 GB,285.0,
iPhone 14 Plus,256GB,320,,iPhone,,,,iPhone 14 Plus,iPhone,Nan,Nan,0,256 GB,320.0,
iPhone 14 Plus,512GB,325,,iPhone,,,,iPhone 14 Plus,iPhone,Nan,Nan,0,512 GB,325.0,
iPhone 14,128GB,275,,iPhone,,,,iPhone 14,iPhone,Nan,Nan,0,128 GB,275.0,
iPhone 14,256GB,305,,iPhone,,,,iPhone 14,iPhone,Nan,Nan,0,256 GB,305.0,
iPhone 14,512GB,350,,iPhone,,,,iPhone 14,iPhone,Nan,Nan,0,512 GB,350.0,
iPhone 13 Pro Max,128GB,300,,iPhone,,,,iPhone 13 Pro Max,iPhone,Nan,Nan,0,128 GB,300.0,
iPhone 13 Pro Max,1TB,350,,iPhone,,,,iPhone 13 Pro Max,iPhone,Nan,Nan,0,1 TB,350.0,
iPhone 13 Pro Max,256GB,315,,iPhone,,,,iPhone 13 Pro Max,iPhone,Nan,Nan,0,256 GB,315.0,
iPhone 13 Pro Max,512GB,335,,iPhone,,,,iPhone 13 Pro Max,iPhone,Nan,Nan,0,512 GB,335.0,
iPhone 13 Pro,128GB,250,,iPhone,,,,iPhone 13 Pro,iPhone,Nan,Nan,0,128 GB,250.0,
iPhone 13 Pro,1TB,305,,iPhone,,,,iPhone 13 Pro,iPhone,Nan,Nan,0,1 TB,305.0,
iPhone 13 Pro,256GB,265,,iPhone,,,,iPhone 13 Pro,iPhone,Nan,Nan,0,256 GB,265.0,
iPhone 13 Pro,512GB,290,,iPhone,,,,iPhone 13 Pro,iPhone,Nan,Nan,0,512 GB,290.0,
iPhone 13 Mini,128GB,160,,iPhone,,,,iPhone 13 Mini,iPhone,Nan,Nan,0,128 GB,160.0,
iPhone 13 Mini,256GB,190,,iPhone,,,,iPhone 13 Mini,iPhone,Nan,Nan,0,256 GB,190.0,
iPhone 13 Mini,512GB,205,,iPhone,,,,iPhone 13 Mini,iPhone,Nan,Nan,0,512 GB,205.0,
iPhone 13,128GB,210,,iPhone,,,,iPhone 13,iPhone,Nan,Nan,0,128 GB,210.0,
iPhone 13,256GB,240,,iPhone,,,,iPhone 13,iPhone,Nan,Nan,0,256 GB,240.0,
iPhone 13,512GB,260,,iPhone,,,,iPhone 13,iPhone,Nan,Nan,0,512 GB,260.0,
iPhone 12 Pro Max,128GB,225,,iPhone,,,,iPhone 12 Pro Max,iPhone,Nan,Nan,0,128 GB,225.0,
iPhone 12 Pro Max,256GB,240,,iPhone,,,,iPhone 12 Pro Max,iPhone,Nan,Nan,0,256 GB,240.0,
iPhone 12 Pro Max,512GB,260,,iPhone,,,,iPhone 12 Pro Max,iPhone,Nan,Nan,0,512 GB,260.0,
iPhone 12 Pro,128GB,170,,iPhone,,,,iPhone 12 Pro,iPhone,Nan,Nan,0,128 GB,170.0,
iPhone 12 Pro,256GB,190,,iPhone,,,,iPhone 12 Pro,iPhone,Nan,Nan,0,256 GB,190.0,
iPhone 12 Pro,512GB,205,,iPhone,,,,iPhone 12 Pro,iPhone,Nan,Nan,0,512 GB,205.0,
iPhone 12 Mini,128GB,115,,iPhone,,,,iPhone 12 Mini,iPhone,Nan,Nan,0,128 GB,115.0,
iPhone 12 Mini,256GB,125,,iPhone,,,,iPhone 12 Mini,iPhone,Nan,Nan,0,256 GB,125.0,
iPhone 12 Mini,64GB,95,,iPhone,,,,iPhone 12 Mini,iPhone,Nan,Nan,0,64 GB,95.0,
iPhone 12,128GB,140,,iPhone,,,,iPhone 12,iPhone,Nan,Nan,0,128 GB,140.0,
iPhone 12,256GB,150,,iPhone,,,,iPhone 12,iPhone,Nan,Nan,0,256 GB,150.0,
iPhone 12,64GB,120,,iPhone,,,,iPhone 12,iPhone,Nan,Nan,0,64 GB,120.0,
iPhone 11 Pro Max,256GB,175,,iPhone,,,,iPhone 11 Pro Max,iPhone,Nan,Nan,0,256 GB,175.0,
iPhone 11 Pro Max,512GB,185,,iPhone,,,,iPhone 11 Pro Max,iPhone,Nan,Nan,0,512 GB,185.0,
iPhone 11 Pro Max,64GB,150,,iPhone,,,,iPhone 11 Pro Max,iPhone,Nan,Nan,0,64 GB,150.0,
iPhone 11 Pro,256GB,130,,iPhone,,,,iPhone 11 Pro,iPhone,Nan,Nan,0,256 GB,130.0,
iPhone 11 Pro,512GB,140,,iPhone,,,,iPhone 11 Pro,iPhone,Nan,Nan,0,512 GB,140.0,
iPhone 11 Pro,64GB,115,,iPhone,,,,iPhone 11 Pro,iPhone,Nan,Nan,0,64 GB,115.0,
iPhone 11,128GB,115,,iPhone,,,,iPhone 11,iPhone,Nan,Nan,0,128 GB,115.0,
iPhone 11,256GB,125,,iPhone,,,,iPhone 11,iPhone,Nan,Nan,0,256 GB,125.0,
iPhone 11,64GB,95,,iPhone,,,,iPhone 11,iPhone,Nan,Nan,0,64 GB,95.0,
"iPad Pro (9,7 pulgadas) Wi-Fi",32GB,35,,iPad,,,,"iPad Pro (9,7 pulgadas) Wi-Fi",iPad,Nan,Nan,0,32 GB,35.0,
"iPad Pro (9,7 pulgadas) Wi-Fi",128GB,45,,iPad,,,,"iPad Pro (9,7 pulgadas) Wi-Fi",iPad,Nan,Nan,0,128 GB,45.0,
"iPad Pro (9,7 pulgadas) Wi-Fi",256GB,50,,iPad,,,,"iPad Pro (9,7 pulgadas) Wi-Fi",iPad,Nan,Nan,0,256 GB,50.0,
"iPad Pro (9,7 pulgadas) Cellular",32GB,40,,iPad,,,,"iPad Pro (9,7 pulgadas) Cellular",iPad,Nan,Nan,0,32 GB,40.0,
"iPad Pro (9,7 pulgadas) Cellular",128GB,50,,iPad,,,,"iPad Pro (9,7 pulgadas) Cellular",iPad,Nan,Nan,0,128 GB,50.0,
"iPad Pro (9,7 pulgadas) Cellular",256GB,60,,iPad,,,,"iPad Pro (9,7 pulgadas) Cellular",iPad,Nan,Nan,0,256 GB,60.0,
iPad Pro 13-inch (M4) Wi-Fi,1TB,680,,iPad,,,M4,iPad Pro 13-inch (M4) Wi-Fi,iPad,Nan,M4,0,1 TB,680.0,
iPad Pro 13-inch (M4) Wi-Fi,256GB,610,,iPad,,,M4,iPad Pro 13-inch (M4) Wi-Fi,iPad,Nan,M4,0,256 GB,610.0,
iPad Pro 13-inch (M4) Wi-Fi,2TB,720,,iPad,,,M4,iPad Pro 13-inch (M4) Wi-Fi,iPad,Nan,M4,0,2 TB,720.0,
iPad Pro 13-inch (M4) Wi-Fi,512GB,640,,iPad,,,M4,iPad Pro 13-inch (M4) Wi-Fi,iPad,Nan,M4,0,512 GB,640.0,
iPad Pro 13-inch (M4) Cellular,1TB,700,,iPad,,,M4,iPad Pro 13-inch (M4) Cellular,iPad,Nan,M4,0,1 TB,700.0,
iPad Pro 13-inch (M4) Cellular,256GB,630,,iPad,,,M4,iPad Pro 13-inch (M4) Cellular,iPad,Nan,M4,0,256 GB,630.0,
iPad Pro 13-inch (M4) Cellular,2TB,730,,iPad,,,M4,iPad Pro 13-inch (M4) Cellular,iPad,Nan,M4,0,2 TB,730.0,
iPad Pro 13-inch (M4) Cellular,512GB,670,,iPad,,,M4,iPad Pro 13-inch (M4) Cellular,iPad,Nan,M4,0,512 GB,670.0,
"iPad Pro (12,9 pulgadas) Wi-Fi",32GB,50,,iPad,,,,"iPad Pro (12,9 pulgadas) Wi-Fi",iPad,Nan,Nan,0,32 GB,50.0,
"iPad Pro (12,9 pulgadas) Wi-Fi",128GB,60,,iPad,,,,"iPad Pro (12,9 pulgadas) Wi-Fi",iPad,Nan,Nan,0,128 GB,60.0,
"iPad Pro (12,9 pulgadas) Wi-Fi",256GB,75,,iPad,,,,"iPad Pro (12,9 pulgadas) Wi-Fi",iPad,Nan,Nan,0,256 GB,75.0,
"iPad Pro (12,9 pulgadas) Cellular",128GB,65,,iPad,,,,"iPad Pro (12,9 pulgadas) Cellular",iPad,Nan,Nan,0,128 GB,65.0,
"iPad Pro (12,9 pulgadas) Cellular",256GB,80,,iPad,,,,"iPad Pro (12,9 pulgadas) Cellular",iPad,Nan,Nan,0,256 GB,80.0,
"iPad Pro de 12,9 pulgadas (6.ª generación) Wi-Fi",128GB,440,,iPad,,,,"iPad Pro de 12,9 pulgadas (6.ª generación) Wi-Fi",iPad,Nan,Nan,0,128 GB,440.0,
"iPad Pro de 12,9 pulgadas (6.ª generación) Wi-Fi",1TB,515,,iPad,,,,"iPad Pro de 12,9 pulgadas (6.ª generación) Wi-Fi",iPad,Nan,Nan,0,1 TB,515.0,
"iPad Pro de 12,9 pulgadas (6.ª generación) Wi-Fi",256GB,455,,iPad,,,,"iPad Pro de 12,9 pulgadas (6.ª generación) Wi-Fi",iPad,Nan,Nan,0,256 GB,455.0,
"iPad Pro de 12,9 pulgadas (6.ª generación) Wi-Fi",2TB,560,,iPad,,,,"iPad Pro de 12,9 pulgadas (6.ª generación) Wi-Fi",iPad,Nan,Nan,0,2 TB,560.0,
"iPad Pro de 12,9 pulgadas (6.ª generación) Wi-Fi",512GB,475,,iPad,,,,"iPad Pro de 12,9 pulgadas (6.ª generación) Wi-Fi",iPad,Nan,Nan,0,512 GB,475.0,
"iPad Pro de 12,9 pulgadas (6.ª generación) Cellular",128GB,445,,iPad,,,,"iPad Pro de 12,9 pulgadas (6.ª generación) Cellular",iPad,Nan,Nan,0,128 GB,445.0,
"iPad Pro de 12,9 pulgadas (6.ª generación) Cellular",1TB,545,,iPad,,,,"iPad Pro de 12,9 pulgadas (6.ª generación) Cellular",iPad,Nan,Nan,0,1 TB,545.0,
"iPad Pro de 12,9 pulgadas (6.ª generación) Cellular",256GB,465,,iPad,,,,"iPad Pro de 12,9 pulgadas (6.ª generación) Cellular",iPad,Nan,Nan,0,256 GB,465.0,
"iPad Pro de 12,9 pulgadas (6.ª generación) Cellular",2TB,580,,iPad,,,,"iPad Pro de 12,9 pulgadas (6.ª generación) Cellular",iPad,Nan,Nan,0,2 TB,580.0,
"iPad Pro de 12,9 pulgadas (6.ª generación) Cellular",512GB,500,,iPad,,,,"iPad Pro de 12,9 pulgadas (6.ª generación) Cellular",iPad,Nan,Nan,0,512 GB,500.0,
"iPad Pro de 12,9 pulgadas (5.ª generación) Wi-Fi",128GB,370,,iPad,,,,"iPad Pro de 12,9 pulgadas (5.ª generación) Wi-Fi",iPad,Nan,Nan,0,128 GB,370.0,
"iPad Pro de 12,9 pulgadas (5.ª generación) Wi-Fi",1TB,450,,iPad,,,,"iPad Pro de 12,9 pulgadas (5.ª generación) Wi-Fi",iPad,Nan,Nan,0,1 TB,450.0,
"iPad Pro de 12,9 pulgadas (5.ª generación) Wi-Fi",256GB,400,,iPad,,,,"iPad Pro de 12,9 pulgadas (5.ª generación) Wi-Fi",iPad,Nan,Nan,0,256 GB,400.0,
"iPad Pro de 12,9 pulgadas (5.ª generación) Wi-Fi",2TB,485,,iPad,,,,"iPad Pro de 12,9 pulgadas (5.ª generación) Wi-Fi",iPad,Nan,Nan,0,2 TB,485.0,
"iPad Pro de 12,9 pulgadas (5.ª generación) Wi-Fi",512GB,420,,iPad,,,,"iPad Pro de 12,9 pulgadas (5.ª generación) Wi-Fi",iPad,Nan,Nan,0,512 GB,420.0,
"iPad Pro de 12,9 pulgadas (5.ª generación) Cellular",128GB,390,,iPad,,,,"iPad Pro de 12,9 pulgadas (5.ª generación) Cellular",iPad,Nan,Nan,0,128 GB,390.0,
"iPad Pro de 12,9 pulgadas (5.ª generación) Cellular",1TB,470,,iPad,,,,"iPad Pro de 12,9 pulgadas (5.ª generación) Cellular",iPad,Nan,Nan,0,1 TB,470.0,
"iPad Pro de 12,9 pulgadas (5.ª generación) Cellular",256GB,410,,iPad,,,,"iPad Pro de 12,9 pulgadas (5.ª generación) Cellular",iPad,Nan,Nan,0,256 GB,410.0,
"iPad Pro de 12,9 pulgadas (5.ª generación) Cellular",2TB,500,,iPad,,,,"iPad Pro de 12,9 pulgadas (5.ª generación) Cellular",iPad,Nan,Nan,0,2 TB,500.0,
"iPad Pro de 12,9 pulgadas (5.ª generación) Cellular",512GB,440,,iPad,,,,"iPad Pro de 12,9 pulgadas (5.ª generación) Cellular",iPad,Nan,Nan,0,512 GB,440.0,
"iPad Pro de 12,9 pulgadas (4.ª generación) Wi-Fi",128GB,280,,iPad,,,,"iPad Pro de 12,9 pulgadas (4.ª generación) Wi-Fi",iPad,Nan,Nan,0,128 GB,280.0,
"iPad Pro de 12,9 pulgadas (4.ª generación) Wi-Fi",1TB,360,,iPad,,,,"iPad Pro de 12,9 pulgadas (4.ª generación) Wi-Fi",iPad,Nan,Nan,0,1 TB,360.0,
"iPad Pro de 12,9 pulgadas (4.ª generación) Wi-Fi",256GB,315,,iPad,,,,"iPad Pro de 12,9 pulgadas (4.ª generación) Wi-Fi",iPad,Nan,Nan,0,256 GB,315.0,
"iPad Pro de 12,9 pulgadas (4.ª generación) Wi-Fi",512GB,330,,iPad,,,,"iPad Pro de 12,9 pulgadas (4.ª generación) Wi-Fi",iPad,Nan,Nan,0,512 GB,330.0,
"iPad Pro de 12,9 pulgadas (4.ª generación) Cellular",128GB,290,,iPad,,,,"iPad Pro de 12,9 pulgadas (4.ª generación) Cellular",iPad,Nan,Nan,0,128 GB,290.0,
"iPad Pro de 12,9 pulgadas (4.ª generación) Cellular",1TB,370,,iPad,,,,"iPad Pro de 12,9 pulgadas (4.ª generación) Cellular",iPad,Nan,Nan,0,1 TB,370.0,
"iPad Pro de 12,9 pulgadas (4.ª generación) Cellular",256GB,330,,iPad,,,,"iPad Pro de 12,9 pulgadas (4.ª generación) Cellular",iPad,Nan,Nan,0,256 GB,330.0,
"iPad Pro de 12,9 pulgadas (4.ª generación) Cellular",512GB,330,,iPad,,,,"iPad Pro de 12,9 pulgadas (4.ª generación) Cellular",iPad,Nan,Nan,0,512 GB,330.0,
"iPad Pro de 12,9 pulgadas (3.ª generación) Wi-Fi",1TB,265,,iPad,,,,"iPad Pro de 12,9 pulgadas (3.ª generación) Wi-Fi",iPad,Nan,Nan,0,1 TB,265.0,
"iPad Pro de 12,9 pulgadas (3.ª generación) Wi-Fi",256GB,230,,iPad,,,,"iPad Pro de 12,9 pulgadas (3.ª generación) Wi-Fi",iPad,Nan,Nan,0,256 GB,230.0,
"iPad Pro de 12,9 pulgadas (3.ª generación) Wi-Fi",512GB,245,,iPad,,,,"iPad Pro de 12,9 pulgadas (3.ª generación) Wi-Fi",iPad,Nan,Nan,0,512 GB,245.0,
"iPad Pro de 12,9 pulgadas (3.ª generación) Wi-Fi",64GB,210,,iPad,,,,"iPad Pro de 12,9 pulgadas (3.ª generación) Wi-Fi",iPad,Nan,Nan,0,64 GB,210.0,
"iPad Pro de 12,9 pulgadas (3.ª generación) Cellular",1TB,270,,iPad,,,,"iPad Pro de 12,9 pulgadas (3.ª generación) Cellular",iPad,Nan,Nan,0,1 TB,270.0,
"iPad Pro de 12,9 pulgadas (3.ª generación) Cellular",256GB,240,,iPad,,,,"iPad Pro de 12,9 pulgadas (3.ª generación) Cellular",iPad,Nan,Nan,0,256 GB,240.0,
"iPad Pro de 12,9 pulgadas (3.ª generación) Cellular",512GB,255,,iPad,,,,"iPad Pro de 12,9 pulgadas (3.ª generación) Cellular",iPad,Nan,Nan,0,512 GB,255.0,
"iPad Pro de 12,9 pulgadas (3.ª generación) Cellular",64GB,220,,iPad,,,,"iPad Pro de 12,9 pulgadas (3.ª generación) Cellular",iPad,Nan,Nan,0,64 GB,220.0,
"iPad Pro de 12,9 pulgadas (2.ª generación) Wi-Fi",256GB,125,,iPad,,,,"iPad Pro de 12,9 pulgadas (2.ª generación) Wi-Fi",iPad,Nan,Nan,0,256 GB,125.0,
"iPad Pro de 12,9 pulgadas (2.ª generación) Wi-Fi",512GB,135,,iPad,,,,"iPad Pro de 12,9 pulgadas (2.ª generación) Wi-Fi",iPad,Nan,Nan,0,512 GB,135.0,
"iPad Pro de 12,9 pulgadas (2.ª generación) Wi-Fi",64GB,110,,iPad,,,,"iPad Pro de 12,9 pulgadas (2.ª generación) Wi-Fi",iPad,Nan,Nan,0,64 GB,110.0,
"iPad Pro de 12,9 pulgadas (2.ª generación) Cellular",256GB,130,,iPad,,,,"iPad Pro de 12,9 pulgadas (2.ª generación) Cellular",iPad,Nan,Nan,0,256 GB,130.0,
"iPad Pro de 12,9 pulgadas (2.ª generación) Cellular",512GB,145,,iPad,,,,"iPad Pro de 12,9 pulgadas (2.ª generación) Cellular",iPad,Nan,Nan,0,512 GB,145.0,
"iPad Pro de 12,9 pulgadas (2.ª generación) Cellular",64GB,115,,iPad,,,,"iPad Pro de 12,9 pulgadas (2.ª generación) Cellular",iPad,Nan,Nan,0,64 GB,115.0,
iPad Pro de 11 pulgadas Wi-Fi,1TB,200,,iPad,11 pulgadas,,,iPad Pro de 11 pulgadas Wi-Fi,iPad,11 Pulgadas,Nan,0,1 TB,200.0,
iPad Pro de 11 pulgadas Wi-Fi,256GB,155,,iPad,11 pulgadas,,,iPad Pro de 11 pulgadas Wi-Fi,iPad,11 Pulgadas,Nan,0,256 GB,155.0,
iPad Pro de 11 pulgadas Wi-Fi,512GB,165,,iPad,11 pulgadas,,,iPad Pro de 11 pulgadas Wi-Fi,iPad,11 Pulgadas,Nan,0,512 GB,165.0,
iPad Pro de 11 pulgadas Wi-Fi,64GB,120,,iPad,11 pulgadas,,,iPad Pro de 11 pulgadas Wi-Fi,iPad,11 Pulgadas,Nan,0,64 GB,120.0,
iPad Pro de 11 pulgadas Cellular,1TB,210,,iPad,11 pulgadas,,,iPad Pro de 11 pulgadas Cellular,iPad,11 Pulgadas,Nan,0,1 TB,210.0,
iPad Pro de 11 pulgadas Cellular,256GB,165,,iPad,11 pulgadas,,,iPad Pro de 11 pulgadas Cellular,iPad,11 Pulgadas,Nan,0,256 GB,165.0,
iPad Pro de 11 pulgadas Cellular,512GB,180,,iPad,11 pulgadas,,,iPad Pro de 11 pulgadas Cellular,iPad,11 Pulgadas,Nan,0,512 GB,180.0,
iPad Pro de 11 pulgadas Cellular,64GB,130,,iPad,11 pulgadas,,,iPad Pro de 11 pulgadas Cellular,iPad,11 Pulgadas,Nan,0,64 GB,130.0,
iPad Pro de 11 pulgadas (4.ª generación) Wi-Fi,128GB,300,,iPad,11 pulgadas,,,iPad Pro de 11 pulgadas (4.ª generación) Wi-Fi,iPad,11 Pulgadas,Nan,0,128 GB,300.0,
iPad Pro de 11 pulgadas (4.ª generación) Wi-Fi,1TB,365,,iPad,11 pulgadas,,,iPad Pro de 11 pulgadas (4.ª generación) Wi-Fi,iPad,11 Pulgadas,Nan,0,1 TB,365.0,
iPad Pro de 11 pulgadas (4.ª generación) Wi-Fi,256GB,325,,iPad,11 pulgadas,,,iPad Pro de 11 pulgadas (4.ª generación) Wi-Fi,iPad,11 Pulgadas,Nan,0,256 GB,325.0,
iPad Pro de 11 pulgadas (4.ª generación) Wi-Fi,2TB,400,,iPad,11 pulgadas,,,iPad Pro de 11 pulgadas (4.ª generación) Wi-Fi,iPad,11 Pulgadas,Nan,0,2 TB,400.0,
iPad Pro de 11 pulgadas (4.ª generación) Wi-Fi,512GB,350,,iPad,11 pulgadas,,,iPad Pro de 11 pulgadas (4.ª generación) Wi-Fi,iPad,11 Pulgadas,Nan,0,512 GB,350.0,
iPad Pro de 11 pulgadas (4.ª generación) Cellular,128GB,325,,iPad,11 pulgadas,,,iPad Pro de 11 pulgadas (4.ª generación) Cellular,iPad,11 Pulgadas,Nan,0,128 GB,325.0,
iPad Pro de 11 pulgadas (4.ª generación) Cellular,1TB,390,,iPad,11 pulgadas,,,iPad Pro de 11 pulgadas (4.ª generación) Cellular,iPad,11 Pulgadas,Nan,0,1 TB,390.0,
iPad Pro de 11 pulgadas (4.ª generación) Cellular,256GB,340,,iPad,11 pulgadas,,,iPad Pro de 11 pulgadas (4.ª generación) Cellular,iPad,11 Pulgadas,Nan,0,256 GB,340.0,
iPad Pro de 11 pulgadas (4.ª generación) Cellular,2TB,420,,iPad,11 pulgadas,,,iPad Pro de 11 pulgadas (4.ª generación) Cellular,iPad,11 Pulgadas,Nan,0,2 TB,420.0,
iPad Pro de 11 pulgadas (4.ª generación) Cellular,512GB,360,,iPad,11 pulgadas,,,iPad Pro de 11 pulgadas (4.ª generación) Cellular,iPad,11 Pulgadas,Nan,0,512 GB,360.0,
iPad Pro de 11 pulgadas (3.ª generación) Wi-Fi,128GB,270,,iPad,11 pulgadas,,,iPad Pro de 11 pulgadas (3.ª generación) Wi-Fi,iPad,11 Pulgadas,Nan,0,128 GB,270.0,
iPad Pro de 11 pulgadas (3.ª generación) Wi-Fi,1TB,340,,iPad,11 pulgadas,,,iPad Pro de 11 pulgadas (3.ª generación) Wi-Fi,iPad,11 Pulgadas,Nan,0,1 TB,340.0,
iPad Pro de 11 pulgadas (3.ª generación) Wi-Fi,256GB,290,,iPad,11 pulgadas,,,iPad Pro de 11 pulgadas (3.ª generación) Wi-Fi,iPad,11 Pulgadas,Nan,0,256 GB,290.0,
iPad Pro de 11 pulgadas (3.ª generación) Wi-Fi,2TB,350,,iPad,11 pulgadas,,,iPad Pro de 11 pulgadas (3.ª generación) Wi-Fi,iPad,11 Pulgadas,Nan,0,2 TB,350.0,
iPad Pro de 11 pulgadas (3.ª generación) Wi-Fi,512GB,320,,iPad,11 pulgadas,,,iPad Pro de 11 pulgadas (3.ª generación) Wi-Fi,iPad,11 Pulgadas,Nan,0,512 GB,320.0,
iPad Pro de 11 pulgadas (3.ª generación) Cellular,128GB,280,,iPad,11 pulgadas,,,iPad Pro de 11 pulgadas (3.ª generación) Cellular,iPad,11 Pulgadas,Nan,0,128 GB,280.0,
iPad Pro de 11 pulgadas (3.ª generación) Cellular,1TB,345,,iPad,11 pulgadas,,,iPad Pro de 11 pulgadas (3.ª generación) Cellular,iPad,11 Pulgadas,Nan,0,1 TB,345.0,
iPad Pro de 11 pulgadas (3.ª generación) Cellular,256GB,300,,iPad,11 pulgadas,,,iPad Pro de 11 pulgadas (3.ª generación) Cellular,iPad,11 Pulgadas,Nan,0,256 GB,300.0,
iPad Pro de 11 pulgadas (3.ª generación) Cellular,2TB,370,,iPad,11 pulgadas,,,iPad Pro de 11 pulgadas (3.ª generación) Cellular,iPad,11 Pulgadas,Nan,0,2 TB,370.0,
